"","Treated_Core","Treated_Band_5km","Treated_Band_10km","Treated_Band_15km","Treated_Band_20km","Control_47113_청하면","Control_47280_영순면","Control_47230_청통면","Control_47130_서면","Control_47820_풍각면","Control_47170_풍산읍","Control_47210_안정면","Control_47730_금성면","Control_47900_유천면","Control_47930_평해읍","Control_47830_성산면","Control_27720_군위읍","Control_47290_남산면","Control_47770_영해면","Control_47111_호미곶면","Control_47920_봉화읍"
"Y2007",0.13522576921348,1.52017147009501,0.0139997600949725,1.0798746897868,-0.0339082500351187,-0.387923227429976,-0.289121038710917,1.49140535989843,0.0308650068782552,-0.0887631227648277,-0.232879937588071,-0.172529207124973,-0.0895601009609607,-0.148928799182941,-0.0321633754048636,0.0360984395712902,-0.129498171745958,0.0169282043235041,-0.0215573973263453,0.153382416797399,-0.135755049229047
"Y2008",0.0253595477391055,1.85655811126444,-0.205907310531737,1.56935949714358,-0.147914776320598,0.3835251162483,-0.210027367525336,1.47552376648636,-0.19116998337438,-0.167405924362989,-0.248551287970813,-0.184504209763937,-0.149413347583202,-0.10727071837816,-0.106074126219043,0.0341782562268083,-0.209674896042384,-0.0570942594366242,-0.089211821742358,-0.0193646620296908,-0.153464534532548
"Y2009",-0.504818637688081,1.62618580993898,-0.429099498202707,1.82777796890763,-0.0641005253241492,0.764229334260859,-0.0488112942427713,1.32923278368927,-0.26196273834144,-0.18767886942936,-0.205682875093446,-0.109386634515838,-0.159274360195877,-0.131752376062422,-0.165192728738543,-0.0333102375414142,-0.224020066295055,-0.0992133217172089,-0.208827020845274,-0.135883995213693,-0.122465599717786
"Y2010",-0.413470479937513,1.91936323635032,-0.507075049742727,1.94135837966587,-0.2208385817734,1.6702270466387,-0.0912366000429211,1.71667384574143,-0.345325587004333,-0.231056008260287,-0.232440685870291,-0.09704647017192,-0.284009641085298,-0.202763894968242,-0.331359098229546,-0.0237484373676619,-0.325926099542508,-0.294590309905364,-0.357733680756029,-0.403451300402089,-0.166213078773637
"Y2011",-0.387603163685743,1.70610731098586,-0.492647881516074,1.96396202889055,-0.36299172438492,2.28183065945565,-0.209675496810943,2.09508267750172,-0.396384510186923,-0.275417668639302,-0.164010568835867,-0.347354827937995,-0.421894035922933,-0.306726764025533,-0.455497322167957,0.450599129787157,-0.480620075885361,-0.392180640806488,-0.516621106294757,-0.606065217677512,-0.255064231552958
"Y2012",-0.483294838440978,1.78155027247673,-0.567380040099254,2.08434866809302,-0.44323372091021,2.979721749125,-0.274142521723157,2.25519676581625,-0.550700830953888,-0.304370554523565,-0.119818276225873,-0.520803460253453,-0.462976059847619,-0.35607337131947,-0.486030269648463,0.413215465737646,-0.473140059303925,-0.477223510982693,-0.592573399966634,-0.739388356598219,-0.290893309331935
"Y2013",0.216184078168869,1.61760293458259,-0.652096797903146,2.32217550511797,-0.511790088235917,3.41799728534394,-0.337926838535402,2.48054618103607,-0.684512245971784,-0.322307401549665,-0.125772438575922,-0.615889929469344,-0.524737962452827,-0.354964971289623,-0.553181482621245,0.347451969854237,-0.445437170107644,-0.52576008148749,-0.573725116415662,-0.888366932933381,-0.293412864824258
"Y2014",2.21548742575459,1.69835304880561,-0.855720997465037,2.49568666743598,-0.607192495099783,3.30552454281078,-0.309990066877606,3.04920278528309,-0.815793386379635,-0.196935284066792,-0.169174404751874,-0.740025954836803,-0.571613292613272,-0.407042111393985,-0.552002578949196,0.277789157236772,-0.419884290323301,-0.437384190798282,-0.651567724098362,-1.10023315629988,-0.260870043941659
"Y2015",12.464764906187,0.149244275927654,-1.20862990449422,2.78015123980025,-0.727068796477428,3.52723403594573,-0.314629313523868,3.41728355914468,-1.01498052722359,-0.188607126990106,-0.105987510913285,-0.839793576223436,-0.610740804656833,-0.418667443879707,-0.578613411948588,0.0448075641751929,-0.341455701981261,-0.427828296901217,-0.677632435039217,-1.19235461102956,-0.278034398954939
"Y2016",22.3628894912037,-2.88200447648657,-1.48184736901071,3.06207782036393,-0.681369889057525,2.49374870950764,-0.33509136594499,3.71254577371616,-0.979535497293264,-0.125913659703688,0.26925618840296,-1.17583025700879,-0.495679401382556,-0.422338582575986,-0.476327936139025,-0.0220395553758321,-0.21523958149107,-0.292590272270763,-0.532823536151823,-1.19309951692012,-0.209041509368858
