"","Treated_Core","Treated_Band_5km","Treated_Band_10km","Treated_Band_15km","Treated_Band_20km","Control_47113_청하면","Control_47280_영순면","Control_47230_청통면","Control_47130_서면","Control_47820_풍각면","Control_47170_풍산읍","Control_47210_안정면","Control_47730_금성면","Control_47900_유천면","Control_47930_평해읍","Control_47830_성산면","Control_27720_군위읍","Control_47290_남산면","Control_47770_영해면","Control_47111_호미곶면","Control_47920_봉화읍"
"Y2007",0.135487771307493,1.52043347218902,0.0142617621889857,1.08013669188082,-0.0336462479411055,-0.387661225335963,-0.278437248380193,1.49166736199245,0.0311270089722684,-0.0885011206708145,-0.232617935494058,-0.175283613405726,-0.100895512233103,-0.148666797088928,-0.0319013733108504,0.0363604416653034,-0.129236169651945,0.0171902064175172,-0.0212953952323321,0.153644418891412,-0.135493047135034
"Y2008",0.025684889545343,1.85688345307067,-0.2055819687255,1.56968483894982,-0.14758943451436,0.383850458054537,-0.201827754330773,1.47584910829259,-0.190844641568143,-0.167080582556752,-0.248225946164575,-0.181421718976908,-0.164924895045879,-0.106945376571923,-0.105748784412805,0.0345035980330457,-0.209349554236146,-0.0567689176303867,-0.0888864799361205,-0.0190393202234533,-0.153139192726311
"Y2009",-0.501769209632562,1.6292352379945,-0.426050070147188,1.83082739696315,-0.0610510972686297,0.767278762316378,-0.0627443662407624,1.33228221174479,-0.258913310285921,-0.18462944137384,-0.202633447037926,-0.121098978978138,-0.173271508457341,-0.128702948006903,-0.162143300683023,-0.0302608094858946,-0.220970638239535,-0.0961638936616893,-0.205777592789754,-0.132834567158174,-0.119416171662266
"Y2010",-0.409493569507873,1.92334014677996,-0.503098139313088,1.94533529009551,-0.216861671343761,1.67420395706833,-0.105747650381306,1.72065075617107,-0.341348676574694,-0.227079097830648,-0.228463775440652,-0.129393641803444,-0.288851254700698,-0.198786984538603,-0.327382187799907,-0.0197715269380228,-0.321949189112869,-0.290613399475725,-0.35375677032639,-0.39947438997245,-0.162236168343998
"Y2011",-0.386032357843786,1.70767811682782,-0.491077075674118,1.96553283473251,-0.361420918542963,2.28340146529761,-0.216817808282265,2.09665348334367,-0.394813704344967,-0.273846862797345,-0.162439762993911,-0.353434312752475,-0.429092715582562,-0.305155958183577,-0.453926516326,0.452169935629113,-0.479049270043404,-0.390609834964531,-0.515050300452801,-0.604494411835555,-0.253493425711002
"Y2012",-0.48481254696136,1.78003256395635,-0.568897748619636,2.08283095957264,-0.444751429430592,2.97820404060462,-0.280252561673274,2.25367905729586,-0.55221853947427,-0.305888263043947,-0.121335984746255,-0.49938853524921,-0.458550734136781,-0.357591079839852,-0.487547978168845,0.411697757217264,-0.474657767824307,-0.478741219503075,-0.594091108487016,-0.740906065118601,-0.292411017852317
"Y2013",0.210417845244809,1.61183670165853,-0.657863030827206,2.31640927219391,-0.517556321159976,3.41223105241988,-0.345867872453599,2.47477994811201,-0.690278478895843,-0.328073634473725,-0.131538671499981,-0.563716174839559,-0.494009655151642,-0.360731204213682,-0.558947715545305,0.341685736930177,-0.451203403031704,-0.53152631441155,-0.579491349339721,-0.89413316585744,-0.299179097748317
"Y2014",2.20759200742194,1.69045763047296,-0.863616415797688,2.48779124910333,-0.615087913432434,3.29762912447813,-0.325207224591795,3.04130736695044,-0.823688804712286,-0.204830702399442,-0.177069823084524,-0.676992636480846,-0.516789014930581,-0.414937529726636,-0.559897997281846,0.269893738904121,-0.427779708655952,-0.445279609130933,-0.659463142431013,-1.10812857463253,-0.26876546227431
"Y2015",12.4533336447207,0.137813014461432,-1.22006116596044,2.76871997833403,-0.73850005794365,3.51580277447951,-0.338999193106143,3.40585229767846,-1.02641178868982,-0.200038388456328,-0.117418772379507,-0.758444618419533,-0.519113483817577,-0.430098705345929,-0.59004467341481,0.033376302708971,-0.352886963447483,-0.439259558367439,-0.689063696505439,-1.20378587249578,-0.289465660421161
"Y2016",22.346783583157,-2.89811038453325,-1.4979532770574,3.04597191231724,-0.697475797104212,2.47764280146096,-0.365030642150263,3.69643986566947,-0.995641405339951,-0.142019567750375,0.253150280356273,-1.0218563701875,-0.41033720739164,-0.438444490622673,-0.492433844185712,-0.038145463422519,-0.231345489537757,-0.30869618031745,-0.54892944419851,-1.20920542496681,-0.225147417415545
"Y2017",26.8473750932957,-4.73104488868179,-1.70189184003827,3.03537254043241,-0.675352897328755,1.77586318653447,-0.440827774148782,4.01656937395965,-1.07452797817686,-0.0749821080709514,0.502260324980732,-1.07541559615546,-0.292410961127681,-0.514658011099817,-0.423362855927939,-0.208220270937916,-0.124192802955175,-0.215276113112906,-0.505571274441376,-1.19553535526757,-0.149711784052422
"Y2018",28.9799497021157,-6.68205129793669,-1.9945757571907,3.03518478608702,-0.646951342795052,1.31833455587404,-0.515094865319443,4.41742981306278,-1.17900431323989,-0.00643802307219343,0.67681671415379,-1.16635456317306,-0.19472931724749,-0.629854367897075,-0.39171806807843,-0.570206123795296,-0.0565300424862183,-0.121382948756432,-0.438801548368731,-1.05149742809804,-0.0909694735583031
"Y2019",29.6670325623141,-8.24977801999366,-1.88231130897161,3.0181723320898,-0.674308174182797,1.14170007614699,-0.451532217135287,4.82549535038973,-1.20814263042348,0.0644667293345553,0.76543382399694,-1.29419578598983,-0.13843744023592,-0.682577068512759,-0.411083334257242,-0.852485224606909,0.0347116448867013,-0.102686173382163,-0.502317092090394,-1.05386970957241,-0.13448094854852
"Y2020",30.6508434590354,-8.32233015894035,-1.99781518873829,2.94080469885727,-0.665439181772114,0.868241015854779,-0.421614765539496,5.09816731773959,-1.47570943592548,0.0986639102273743,0.923321320765473,-1.39219451963201,-0.0867992279165457,-0.52557903232561,-0.301859266198768,-1.29754709304834,0.131839804633074,-0.0127521025434216,-0.532939413918993,-1.00397554068044,-0.0692629714911759
"Y2021",31.2884944337921,-8.11434793019972,-2.15680604548781,2.89783271288914,-0.735245530848147,1.04916797500834,-0.40288058338699,5.73322583720157,-1.80450512282645,0.098964342041602,0.803037647626256,-1.23829796175606,-0.127289552083235,-0.41724610136836,-0.341221351145142,-1.67331669272399,0.132017890233631,-0.0234776881728946,-0.675566208203833,-0.960211752676752,-0.152400677767691
"Y2022",32.1015206477786,-9.03609433796808,-2.0657825600119,2.99547442365393,-0.589722364617407,-0.597258144464912,-0.294102017180619,5.82737585915078,-1.88687199938157,0.261097359454253,0.837658590348334,-1.10475830818044,0.102737538967977,-0.311604058416038,-0.25938887251145,-1.62209730055907,0.374007535204212,0.172544132070732,-0.589255715054456,-0.868817846591733,-0.041266752855994
"Y2023",32.6425293766074,-10.4244009293822,-2.12658009138496,3.01821898735439,-0.49163929178439,-1.63209324212936,-0.301793106202082,5.76264027849688,-1.90239862669063,0.349059888849035,0.912516260835624,-0.993533791371833,0.243338099365099,-0.204858066106831,-0.16368487226748,-1.5610023913519,0.459695225993998,0.354478661216914,-0.519351521109617,-0.83000163781271,0.0269888402848939
"Y2024",32.422324228635,-12.8682619896172,-1.98895102967152,2.8192105083611,-0.515771252306854,-1.21216533071001,-0.375941891733746,5.72123868906383,-2.04361553018794,0.294722374155993,0.991743727652241,-1.05864826118988,0.207753346167604,-0.188908468544998,-0.122105442736568,-1.47865497214732,0.35939429642359,0.357925981495137,-0.585479224427424,-0.86878554969232,0.00152625641181148
