"","Treated_Core","Treated_Band_5km","Treated_Band_10km","Treated_Band_15km","Treated_Band_20km","Control_47280_마성면","Control_47170_풍천면","Control_47230_청통면","Control_47130_강동면","Control_47770_병곡면","Control_47830_성산면","Control_47920_봉성면","Control_47820_매전면"
"Y2011",-0.696311941344922,1.72242228000972,-0.189560452054672,1.72419539390077,-0.686173738494118,-0.467441144727553,-0.53779706617618,1.78848952845587,1.45384959496305,-0.797608070521917,-0.214120065197845,-0.582196845649344,-0.643175931146082
"Y2012",-0.828779227764201,1.81486567864772,-0.107523367719252,1.81365227062939,-0.834552648259609,-0.585242609182344,-0.634784981644706,1.91007598397854,1.88193502670295,-0.874967601377843,-0.317597250546653,-0.653373968972441,-0.726044598957503
"Y2013",-0.156203798820444,1.84304932200784,-0.234439958366307,1.94215521418896,-0.96795990550125,-0.651086770861312,-0.696278251184555,2.10458028768301,1.99827163959498,-0.911961194553611,-0.333515778933969,-0.746864560580689,-0.763145371163854
"Y2014",1.7693775564191,1.77479511193259,-0.555594974425392,1.99628273632501,-1.1507227117462,-0.694346755385646,-0.775265823456711,2.60087142104735,1.90844264416079,-1.00319221110992,-0.407294747123631,-0.8999524815637,-0.729262046568536
"Y2015",11.9768921539361,1.62064571070597,-0.979056220748882,2.06633685958868,-1.33607954234565,-0.731160605518437,-0.693328354598427,2.93234322011736,1.81246765396553,-1.04921371764154,-0.492848608175449,-0.997772080268634,-0.7804875078804
"Y2016",21.7981600499936,1.50726647536922,-1.83867840972499,2.17295864280498,-1.20995362948211,-0.757600836952565,-0.499844519629663,3.14522865873683,1.30033080204415,-0.976699215158075,-0.4688569949328,-0.942614276052927,-0.79994361805495
"Y2017",26.2788609685996,1.30008550708502,-1.91839047091551,2.02515278534231,1.3339409462865,-0.797390465074974,-0.195545194713264,3.44783723445821,0.593516112611176,-0.932982719785635,-0.491438307769879,-0.878264449384141,-0.745732210341497
"Y2018",28.4693494712437,1.20773877214684,-2.25077721864329,2.13756096744198,2.18119915834278,-0.768342559738156,0.102793755550614,3.89808768397136,-0.350525352060998,-0.825164903044564,-0.603431357158765,-0.840225239648178,-0.613192027871311
"Y2019",29.1907646520428,0.985703250106044,-2.65767881560911,2.09390215416798,3.9825538116824,-0.615344320858011,0.290621343602031,4.35941877186254,-0.939128630873533,-0.848629108431299,-0.793606947608798,-0.913506996231306,-0.539824111461624
"Y2020",30.2774532517274,0.372665346068361,-0.924311804002481,2.28929315565051,4.48800034816514,-0.462405831114177,0.593798016497419,4.70662758950566,-1.94749266391292,-0.713166630077317,-0.943009224672424,-0.839685714611647,-0.394665541614598
"Y2021",30.9045594870009,0.321846017717889,-1.40016333661727,2.30825259508176,4.47122419287838,-0.450726219387224,0.596370725267053,5.35255992802926,-2.13557644473905,-0.821469947953604,-1.20368948521184,-0.915872669335939,-0.421595886668657
"Y2022",31.8370088404735,0.487158894774484,-1.82276428922405,2.5795119548427,4.77911652423918,-0.208533610072354,0.775435299927626,5.5495880164477,-3.64896217988812,-0.617904097777336,-0.98899211296025,-0.714783644831897,-0.145847670845369
"Y2023",32.4440683346068,0.45157015653811,-1.83996927900258,2.7876749619109,4.86496370462618,-0.137976229206272,0.8059646420128,5.53692050208306,-4.29787773564315,-0.490064425058391,-0.883257095549552,-0.575622064556879,0.0419124059183871
"Y2024",32.3432437368637,0.235457537578833,-1.54915221697838,2.89387989505292,5.91987782579208,-0.0821165430679542,0.906405357552864,5.5953673625578,-4.88577307757396,-0.379577110968528,-0.758150192309583,-0.513679205797169,0.117523409606531
